Programming|Programming 입니다.|#ff9100|
Language|Language 입니다.|#ff9100|Programming
Framework|Framework 입니다.|#ff9100|Programming
Testing|Testing 입니다.|#ff9100|Programming
Web Programming|Web Programming 입니다.|#ff9100|Programming

Design|Design 입니다.|#00cccc|
Development Driven|Development Driven 입니다.|#00cccc|Design
Programming Principle|Programming Principle 입니다.|#00cccc|Design

Infrastructure|Infrastructure 입니다.|#ccccff|
Web Architecture Components|Web Architecture Components 입니다.|#ccccff|Infrastructure
Service & Tools|Service & Tools 입니다.|#ccccff|Infrastructure

Software Development Process & Maintenance|Software Development Process & Maintenance 입니다.|#ffcce5|
Development Process|Development Process 입니다.|#ffcce5|Software Development Process & Maintenance
Maintenance|Maintenance 입니다.|#ffcce5|Software Development Process & Maintenance

CS|CS 입니다.|#9100ff|
Database|Database 입니다.|#9100ff|CS
네트워크|네트워크 입니다.|#9100ff|CS
OS|OS 입니다.|#9100ff|CS
